Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
31;24772;"Knowledge-Based Systems";journal;"09507051";"Elsevier B.V.";No;No;1,934;Q1;188;1383;3015;77048;30317;3012;9,62;55,71;29,76;1;122;Netherlands;Western Europe;"Elsevier B.V.";"1987-2025";"Artificial Intelligence (Q1); Information Systems and Management (Q1); Management Information Systems (Q1); Software (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
32;24201;"Expert Systems with Applications";journal;"09574174";"Elsevier Ltd";No;No;1,854;Q1;290;3745;5690;212844;63040;5690;10,48;56,83;28,98;7;829;United Kingdom;Western Europe;"Elsevier Ltd";"1990-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Engineering (miscellaneous) (Q1)";"Computer Science; Engineering"
33;21101107952;"Cognitive Robotics";journal;"26672413";"KeAi Communications Co.";Yes;No;1,852;Q1;17;20;68;735;999;67;15,02;36,75;22,97;0;4;China;Asiatic Region;"KeAi Communications Co.";"2021-2025";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1)";"Computer Science; Engineering"
34;4000148905;"IEEE Computational Intelligence Magazine";journal;"1556603X";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,851;Q1;74;46;132;1440;870;82;7,26;31,30;23,26;0;5;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2006-2025";"Artificial Intelligence (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
35;23675;"Artificial Intelligence";journal;"00043702";"Elsevier B.V.";No;No;1,836;Q1;174;112;353;6814;3072;350;6,09;60,84;20,19;0;5;Netherlands;Western Europe;"Elsevier B.V.";"1968, 1970-2025";"Artificial Intelligence (Q1); Linguistics and Language (Q1)";"Computer Science; Social Sciences"
36;21101049047;"Transactions of the Association for Computational Linguistics";journal;"2307387X";"MIT Press Journals";Yes;Yes;1,824;Q1;67;73;275;4598;4705;275;15,05;62,99;31,72;1;2;United States;Northern America;"MIT Press Journals";"2019-2024";"Artificial Intelligence (Q1); Communication (Q1); Computer Science Applications (Q1); Human-Computer Interaction (Q1); Linguistics and Language (Q1)";"Computer Science; Social Sciences"
37;15134;"Information Sciences";journal;"00200255";"Elsevier Inc.";No;No;1,803;Q1;243;1306;3981;57494;33358;3973;8,25;44,02;31,01;0;118;United States;Northern America;"Elsevier Inc.";"1968-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Information Systems and Management (Q1); Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Decision Sciences; Engineering; Mathematics"
38;22478;"Journal of Memory and Language";journal;"10960821, 0749596X";"Academic Press Inc.";Yes;No;1,802;Q1;177;50;149;4006;578;145;3,45;80,12;47,55;0;2;United States;Northern America;"Academic Press Inc.";"1985-2025";"Artificial Intelligence (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1); Neuropsychology and Physiological Psychology (Q1)";"Computer Science; Psychology; Social Sciences"
39;21100970248;"CAAI Transactions on Intelligence Technology";journal;"24686557, 24682322";"John Wiley &amp; Sons Inc.";Yes;No;1,785;Q1;44;143;235;7679;2345;226;10,54;53,70;26,43;0;23;United Kingdom;Western Europe;"John Wiley &amp; Sons Inc.";"2017-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Information Systems (Q1)";"Computer Science"
40;21100779064;"Soft Robotics";journal;"21695172";"Mary Ann Liebert Inc.";No;No;1,764;Q1;89;111;258;4883;2373;258;8,51;43,99;24,80;0;21;United States;Northern America;"Mary Ann Liebert Inc.";"2014-2025";"Artificial Intelligence (Q1); Biophysics (Q1); Control and Systems Engineering (Q1)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Engineering"
41;24363;"Journal of Intelligent Manufacturing";journal;"15728145, 09565515";"Springer Netherlands";No;No;1,763;Q1;113;397;462;23449;5049;458;10,94;59,07;24,90;1;197;Netherlands;Western Europe;"Springer Netherlands";"1990-2025";"Artificial Intelligence (Q1); Industrial and Manufacturing Engineering (Q1); Software (Q1)";"Computer Science; Engineering"
42;21101042196;"Artificial Intelligence in Agriculture";journal;"25897217";"KeAi Communications Co.";Yes;No;1,750;Q1;34;34;80;2367;1385;80;18,77;69,62;27,61;1;15;China;Asiatic Region;"KeAi Communications Co.";"2019-2025";"Agricultural and Biological Sciences (miscellaneous) (Q1); Artificial Intelligence (Q1); Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Computer Science; Engineering"
43;21100448299;"Robotics: Science and Systems";conference and proceedings;"23307668, 2330765X";"";No;No;1,712;-;78;0;168;0;1011;166;5,87;0,00;0,00;0;0;United States;Northern America;"";"2005-2006, 2008-2022";"Artificial Intelligence; Control and Systems Engineering; Electrical and Electronic Engineering";"Computer Science; Engineering"
44;21101078838;"Computers in Human Behavior Reports";journal;"24519588";"Elsevier B.V.";Yes;No;1,709;Q1;30;171;258;13171;2145;257;7,77;77,02;50,82;1;32;United Kingdom;Western Europe;"Elsevier B.V.";"2020-2025";"Applied Psychology (Q1); Artificial Intelligence (Q1); Cognitive Neuroscience (Q1); Computer Science Applications (Q1); Human-Computer Interaction (Q1); Neuroscience (miscellaneous) (Q1)";"Computer Science; Neuroscience; Psychology"
45;24182;"Engineering Applications of Artificial Intelligence";journal;"09521976";"Elsevier Ltd";No;No;1,652;Q1;149;2042;2402;123379;24341;2399;10,23;60,42;27,05;2;507;United Kingdom;Western Europe;"Elsevier Ltd";"1988-2025";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
46;12872;"Cognitive Psychology";journal;"10955623, 00100285";"Academic Press Inc.";No;No;1,651;Q1;137;26;82;2186;291;81;3,41;84,08;35,80;0;1;United States;Northern America;"Academic Press Inc.";"1970-2025";"Artificial Intelligence (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1); Neuropsychology and Physiological Psychology (Q1)";"Computer Science; Psychology; Social Sciences"
47;21101192774;"Chip";journal;"27722724, 27094723";"Elsevier B.V.";Yes;No;1,624;Q1;14;32;56;2586;418;56;7,46;80,81;24,58;0;8;Netherlands;Western Europe;"Elsevier B.V.";"2022-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Hardware and Architecture (Q1)";"Computer Science; Engineering"
48;21100976672;"IEEE Transactions on Emerging Topics in Computational Intelligence";journal;"2471285X";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,620;Q1;52;412;330;21113;2904;321;8,38;51,25;30,02;0;33;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2017-2025";"Artificial Intelligence (Q1); Computational Mathematics (Q1); Computer Science Applications (Q1); Control and Optimization (Q1)";"Computer Science; Mathematics"
49;21101155822;"Neuromorphic Computing and Engineering";journal;"26344386";"Institute of Physics";Yes;No;1,548;Q1;19;64;158;3410;923;150;5,94;53,28;19,84;0;7;United Kingdom;Western Europe;"Institute of Physics";"2021-2025";"Artificial Intelligence (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Hardware and Architecture (Q1)";"Computer Science; Engineering; Materials Science"
50;21101101955;"International Journal of Intelligent Networks";journal;"26666030";"KeAi Communications Co.";Yes;No;1,545;Q1;26;35;84;1118;1317;84;15,80;31,94;33,33;0;16;China;Asiatic Region;"KeAi Communications Co.";"2020-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1); Signal Processing (Q1)";"Computer Science; Engineering"
51;21101202019;"BenchCouncil Transactions on Benchmarks, Standards and Evaluations";journal;"27724859";"KeAi Communications Co.";Yes;Yes;1,531;Q1;10;15;58;533;833;53;17,76;35,53;30,43;0;4;China;Asiatic Region;"KeAi Communications Co.";"2021-2024";"Artificial Intelligence (Q1); Computer Science (miscellaneous) (Q1); Multidisciplinary (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Computer Science; Multidisciplinary"
52;21101058910;"Internet of Things (The Netherlands)";journal;"25426605";"Elsevier B.V.";No;No;1,527;Q1;69;423;592;26107;6589;586;11,45;61,72;20,30;4;189;Netherlands;Western Europe;"Elsevier B.V.";"2018-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Management of Technology and Innovation (Q1); Software (Q1)";"Business, Management and Accounting; Computer Science; Engineering"
53;24804;"Neural Networks";journal;"08936080, 18792782";"Elsevier Ltd";No;No;1,491;Q1;186;739;1298;42095;10227;1289;7,66;56,96;30,40;0;35;United Kingdom;Western Europe;"Elsevier Ltd";"1988-2025";"Artificial Intelligence (Q1); Cognitive Neuroscience (Q1)";"Computer Science; Neuroscience"
54;21100900379;"IEEE Robotics and Automation Letters";journal;"23773766";"Institute of Electrical and Electronics Engineers Inc.";Yes;No;1,481;Q1;129;1609;3800;50688;26493;3796;6,27;31,50;22,53;0;217;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2016-2025";"Artificial Intelligence (Q1); Biomedical Engineering (Q1); Computer Science Applications (Q1); Computer Vision and Pattern Recognition (Q1); Control and Optimization (Q1); Control and Systems Engineering (Q1); Human-Computer Interaction (Q1); Mechanical Engineering (Q1)";"Computer Science; Engineering; Mathematics"
55;24807;"Neurocomputing";journal;"09252312, 18728286";"Elsevier B.V.";No;No;1,471;Q1;216;1264;4067;77546;32873;4034;8,18;61,35;29,09;1;78;Netherlands;Western Europe;"Elsevier B.V.";"1989-2025";"Artificial Intelligence (Q1); Cognitive Neuroscience (Q1); Computer Science Applications (Q1)";"Computer Science; Neuroscience"
56;21101109601;"Machine Learning and Knowledge Extraction";journal;"25044990";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;1,437;Q1;36;139;201;8067;1919;198;8,98;58,04;26,05;1;47;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2019-2024";"Artificial Intelligence (Q1); Engineering (miscellaneous) (Q1)";"Computer Science; Engineering"
57;21101093601;"IEEE Transactions on Artificial Intelligence";journal;"26914581";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,431;Q1;31;625;271;30623;2330;267;7,09;49,00;26,98;0;73;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2020-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1)";"Computer Science"
58;21101237956;"Journal of Automation and Intelligence";journal;"29498554";"KeAi Communications Co.";Yes;No;1,429;Q1;9;28;31;1167;170;30;5,48;41,68;28,24;0;6;China;Asiatic Region;"KeAi Communications Co.";"2022-2025";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Information Systems (Q1)";"Computer Science; Engineering"
59;36450;"Design Studies";journal;"0142694X";"Elsevier Ltd";No;No;1,410;Q1;116;19;100;1152;628;95;6,54;60,63;52,46;0;5;United Kingdom;Western Europe;"Elsevier Ltd";"1979-2025";"Architecture (Q1); Artificial Intelligence (Q1); Arts and Humanities (miscellaneous) (Q1); Computer Science Applications (Q1); Engineering (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)";"Arts and Humanities; Computer Science; Engineering; Social Sciences"
60;21101068929;"Smart Cities";journal;"26246511";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;1,398;Q1;42;153;319;11272;3391;317;7,92;73,67;26,26;3;138;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2018-2024";"Artificial Intelligence (Q1); Electrical and Electronic Engineering (Q1); Urban Studies (Q1)";"Computer Science; Engineering; Social Sciences"
61;24140;"Artificial Intelligence in Medicine";journal;"09333657, 18732860";"Elsevier B.V.";No;No;1,396;Q1;118;210;452;14099;3848;445;8,39;67,14;34,94;0;61;Netherlands;Western Europe;"Elsevier B.V.";"1989-2025";"Artificial Intelligence (Q1); Health Informatics (Q1); Medicine (miscellaneous) (Q1)";"Computer Science; Medicine"
62;21101017498;"Journal of Healthcare Informatics Research";journal;"2509498X";"Springer International Publishing";No;No;1,385;Q1;22;31;67;1898;566;66;4,79;61,23;39,49;0;8;Switzerland;Western Europe;"Springer International Publishing";"2017-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Health Informatics (Q1); Information Systems (Q1)";"Computer Science; Medicine"
63;24330;"Journal of Artificial Intelligence Research";journal;"10769757";"Morgan Kaufmann Publishers, Inc.";Yes;Yes;1,372;Q1;143;97;323;7485;2426;323;5,94;77,16;26,16;0;7;United States;Northern America;"Morgan Kaufmann Publishers, Inc.";"1993, 1996-2025";"Artificial Intelligence (Q1)";"Computer Science"
64;21101092534;"Data Science and Management";journal;"26667649";"KeAi Communications Co.";Yes;Yes;1,370;Q1;21;35;69;1984;720;64;9,48;56,69;27,72;0;9;China;Asiatic Region;"KeAi Communications Co.";"2021-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1); Management Science and Operations Research (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
65;19700190323;"ACM Transactions on Intelligent Systems and Technology";journal;"21576912, 21576904";"Association for Computing Machinery (ACM)";No;No;1,362;Q1;84;134;303;10123;2211;297;7,67;75,54;30,47;2;18;United States;Northern America;"Association for Computing Machinery (ACM)";"2010-2025";"Artificial Intelligence (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
66;24777;"Minds and Machines";journal;"09246495, 15728641";"Springer Netherlands";No;No;1,339;Q1;56;51;96;3415;602;91;5,29;66,96;28,26;2;5;Netherlands;Western Europe;"Springer Netherlands";"1991-2025";"Artificial Intelligence (Q1); Philosophy (Q1)";"Arts and Humanities; Computer Science"
67;21101024053;"Big Data Mining and Analytics";journal;"2097406X, 20960654";"Tsinghua University Press";Yes;Yes;1,334;Q1;44;56;93;3025;1109;90;10,51;54,02;28,21;0;9;China;Asiatic Region;"Tsinghua University Press";"2018-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Information Systems (Q1)";"Computer Science"
68;110111;"IEEE Intelligent Systems";journal;"15411672";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,326;Q1;145;66;195;1121;1406;190;6,35;16,98;29,95;0;6;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2001-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1)";"Computer Science"
69;21101209857;"IEEE Journal on Selected Areas in Information Theory";journal;"26418770";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,297;Q1;28;51;225;2548;853;213;3,14;49,96;24,83;0;1;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2020-2025";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Media Technology (Q1)";"Computer Science; Engineering; Mathematics"
70;21100901150;"Data Science and Engineering";journal;"23641541, 23641185";"Springer International Publishing";Yes;Yes;1,273;Q1;32;33;86;1640;537;83;5,86;49,70;40,91;0;5;Switzerland;Western Europe;"Springer International Publishing";"2016-2025";"Artificial Intelligence (Q1); Computational Mechanics (Q1); Computer Science Applications (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering"
